rocnik,mise,nazev_mise,dil,strana,poznamka
3,1-1,Čísla do 1000,,,
3,1-2,Porovnávání čísel,,,
3,1-3,Zaokrouhlování,,,
3,2-1,Sčítání do 1000,,,
3,2-2,Odčítání do 1000,,,
3,2-3,Slovní úlohy +/−,,,
3,3-1,Malá násobilka,,,
3,3-2,Násobení 10 a 100,,,
3,3-3,Slovní úlohy násobení,,,
3,4-1,Dělení bez zbytku,,,
3,4-2,Dělení se zbytkem,,,
3,4-3,Slovní úlohy dělení,,,
3,5-1,Obvod trojúhelníku,,,
3,5-2,Obvod čtverce a obdélníku,,,
3,5-3,Úsečky a obrazce,,,
3,6-1,Jednotky délky,,,
3,6-2,Hmotnost a čas,,,
3,6-3,Peníze,,,
3,7-1,Počítání do 1000,,,
3,7-2,"Násobení a dělení 10, 100",,,
3,7-3,Finální duel,,,
4,1-1,Čísla do 10 000,,,
4,1-2,Porovnávání čísel,,,
4,1-3,Zaokrouhlování,,,
4,2-1,Sčítání do 10 000,,,
4,2-2,Odčítání do 10 000,,,
4,2-3,Slovní úlohy +/−,,,
4,3-1,Násobilka 1–10,,,
4,3-2,Násobení ×10 a ×100,,,
4,3-3,Násobení dvojciferného,,,
4,4-1,Dělení bez zbytku,,,
4,4-2,Dělení se zbytkem,,,
4,4-3,Slovní úlohy dělení,,,
4,5-1,Obvod obdélníku a čtverce,,,
4,5-2,Obsah obdélníku a čtverce,,,
4,5-3,Souřadnice a síť,,,
4,6-1,Délkové jednotky,,,
4,6-2,Hmotnost a čas,,,
4,6-3,Peníze a míry,,,
4,7-1,Čísla do 1 000 000,,,
4,7-2,Operace s velkými čísly,,,
4,7-3,Finální duel,,,
5,1-1,Čísla do milionu,,,
5,1-2,Porovnávání velkých čísel,,,
5,1-3,Zaokrouhlování,,,
5,2-1,Násobení × jednociferným,,,
5,2-2,Násobení dvojciferným,,,
5,2-3,Slovní úlohy násobení,,,
5,3-1,Dělení jednociferným,,,
5,3-2,Dělení se zbytkem,,,
5,3-3,Slovní úlohy dělení,,,
5,4-1,Zlomek z čísla,,,
5,4-2,Sčítání a odčítání zlomků,,,
5,4-3,Slovní úlohy se zlomky,,,
5,5-1,Porovnávání desetinných,,,
5,5-2,Sčítání a odčítání desetinných,,,
5,5-3,"Násobení a dělení 10, 100",,,
5,6-1,Obvod a obsah,,,
5,6-2,Převody jednotek,,,
5,6-3,Aritmetický průměr,,,
5,7-1,Velká čísla,,,
5,7-2,Operace s čísly,,,
5,7-3,Finální duel,,,
