dil_slug;dil_nazev;rocnik;strana;tema;sekce
7-dil;Matýskova matematika, 7. díl;3;2;"Orientace na číselné ose; jednotky, desítky";Opakování (číselný obor 0–100)
7-dil;Matýskova matematika, 7. díl;3;3;Sčítání a odčítání;Opakování (číselný obor 0–100)
7-dil;Matýskova matematika, 7. díl;3;4;Zápis a řešení slovních úloh;Opakování (číselný obor 0–100)
7-dil;Matýskova matematika, 7. díl;3;5;Sčítání a odčítání;Opakování (číselný obor 0–100)
7-dil;Matýskova matematika, 7. díl;3;6;Sčítání a odčítání;Opakování (číselný obor 0–100)
7-dil;Matýskova matematika, 7. díl;3;7;Sčítání a odčítání;Opakování (číselný obor 0–100)
7-dil;Matýskova matematika, 7. díl;3;8;Sčítání a odčítání;Opakování (číselný obor 0–100)
7-dil;Matýskova matematika, 7. díl;3;9;Sčítání a odčítání;Opakování (číselný obor 0–100)
7-dil;Matýskova matematika, 7. díl;3;10;Písemné sčítání a odčítání;Opakování (číselný obor 0–100)
7-dil;Matýskova matematika, 7. díl;3;11;Finanční gramotnost (Kč, €);Opakování (číselný obor 0–100)
7-dil;Matýskova matematika, 7. díl;3;12;Násobení a dělení čísly 2, 3;Opakování (číselný obor 0–100)
7-dil;Matýskova matematika, 7. díl;3;13;Násobení a dělení čísly 2, 3;Opakování (číselný obor 0–100)
7-dil;Matýskova matematika, 7. díl;3;14;Násobení čísly 0, 1, 10 a dělení čísly 1, 10;Opakování (číselný obor 0–100)
7-dil;Matýskova matematika, 7. díl;3;15;Násobení čísly 0, 1, 10 a dělení čísly 1, 10;Opakování (číselný obor 0–100)
7-dil;Matýskova matematika, 7. díl;3;16;Násobení a dělení čísly 4, 5;Opakování (číselný obor 0–100)
7-dil;Matýskova matematika, 7. díl;3;17;Násobení a dělení čísly 4, 5;Opakování (číselný obor 0–100)
7-dil;Matýskova matematika, 7. díl;3;18;Násobení a dělení čísly 6, 7;Opakování (číselný obor 0–100)
7-dil;Matýskova matematika, 7. díl;3;19;Násobení a dělení čísly 6, 7;Opakování (číselný obor 0–100)
7-dil;Matýskova matematika, 7. díl;3;20;Násobení a dělení čísly 8, 9;Opakování (číselný obor 0–100)
7-dil;Matýskova matematika, 7. díl;3;21;Násobení a dělení čísly 8, 9;Opakování (číselný obor 0–100)
7-dil;Matýskova matematika, 7. díl;3;22;Početní operace se závorkami;Opakování (číselný obor 0–100)
7-dil;Matýskova matematika, 7. díl;3;23;Početní operace se závorkami;Opakování (číselný obor 0–100)
7-dil;Matýskova matematika, 7. díl;3;24;Hodiny a určování času;Opakování (číselný obor 0–100)
7-dil;Matýskova matematika, 7. díl;3;25;Hodiny a určování času;Opakování (číselný obor 0–100)
7-dil;Matýskova matematika, 7. díl;3;26;Zkoušky správnosti;Číselný obor 0–100
7-dil;Matýskova matematika, 7. díl;3;27;Zkoušky správnosti;Číselný obor 0–100
7-dil;Matýskova matematika, 7. díl;3;28;Jednociferná, dvojciferná a trojciferná čísla;Číselný obor 0–100
7-dil;Matýskova matematika, 7. díl;3;29;Sudá a lichá čísla;Číselný obor 0–100
7-dil;Matýskova matematika, 7. díl;3;30;Zaokrouhlování na desítky;Číselný obor 0–100
7-dil;Matýskova matematika, 7. díl;3;31;Sčítání a odčítání bez přechodu přes základ 10;Sčítání a odčítání dvojciferných čísel
